timestamp,agent_name,position,signal,order
3,retail_14,0,0.013806212427570552,1.0
3,retail_29,0,0.011454467939344438,1.0
3,retail_40,0,0.015345130143265419,1.0
4,retail_2,0,0.025533594948967113,1.0
4,retail_3,0,0.029780746246054812,2.0
4,retail_4,0,0.027611774651370477,2.0
4,retail_5,0,0.013507585869019841,1.0
4,retail_12,0,0.025429689431520925,1.0
4,retail_14,0,0.03939966715017455,2.0
4,retail_19,0,0.033145374309544985,2.0
4,retail_25,0,0.03260096606672811,3.0
4,retail_27,0,0.03597124277414684,2.0
4,retail_29,0,0.03233845095188878,1.0
4,retail_30,0,0.03242610641521482,3.0
4,retail_33,0,0.01612185338565166,1.0
4,retail_34,0,0.03391055199078549,3.0
4,retail_35,0,0.03518871708920505,2.0
4,retail_36,0,0.032700896673204784,2.0
4,retail_37,0,0.0295073692390325,2.0
4,retail_39,0,0.03362306929783211,2.0
4,retail_40,0,0.03975182841630754,3.0
4,retail_41,0,0.03586544361710477,1.0
4,retail_42,0,0.03784267174640598,2.0
4,retail_44,0,0.028338324863261148,1.0
5,retail_1,0,0.03260704346699515,2.0
5,retail_2,0,0.023539252159816282,1.0
5,retail_3,0,0.027239366319867724,2.0
5,retail_4,0,0.025332550523748058,2.0
5,retail_5,0,0.03131724971148565,2.0
5,retail_7,0,0.02283658906445629,2.0
5,retail_8,0,0.031655709668555784,1.0
5,retail_9,0,0.03651866270273227,3.0
5,retail_10,0,0.03398708765470454,2.0
5,retail_12,0,0.023170716812142653,1.0
5,retail_14,0,0.035541154717132095,2.0
5,retail_16,0,0.015185005334916672,1.0
5,retail_18,0,0.03006157271875717,2.0
5,retail_19,0,0.03013227169243886,2.0
5,retail_21,0,0.034461696031287514,1.0
5,retail_23,0,0.035083539669733155,4.0
5,retail_24,0,0.014977941193136843,1.0
5,retail_25,0,0.029548538080380223,2.0
5,retail_26,0,0.03214764810846363,3.0
5,retail_27,0,0.03252078639537013,2.0
5,retail_28,0,0.030182809756032523,3.0
5,retail_29,0,0.029150051693780203,1.0
5,retail_30,0,0.02934467251781213,3.0
5,retail_33,0,0.0362143354978329,2.0
5,retail_34,0,0.03073616724804434,3.0
5,retail_35,0,0.032165116260215676,2.0
5,retail_36,0,0.02951426332746255,1.0
5,retail_37,0,0.026944871217038313,1.0
5,retail_38,0,0.028161288452603624,2.0
5,retail_39,0,0.030557569378627737,2.0
5,retail_40,0,0.036064612294108914,3.0
5,retail_41,0,0.03254159877834059,1.0
5,retail_42,0,0.034379022064711245,2.0
5,retail_44,0,0.026093110957429055,1.0
5,retail_45,0,0.027867962801417574,1.0
5,retail_46,0,0.030103448500792107,1.0
5,retail_47,0,0.013305007492583237,1.0
5,retail_48,0,0.014039294325490144,1.0
5,retail_49,0,0.03861907132686952,3.0
6,retail_0,0,0.040720627899353455,1.0
6,retail_1,0,0.029778921488376655,1.0
6,retail_2,0,0.022744094905181138,1.0
6,retail_3,0,0.026219580539584262,2.0
6,retail_5,0,0.028590521435653344,2.0
6,retail_6,0,0.028373427297907566,1.0
6,retail_7,0,0.020742281177153772,1.0
6,retail_8,0,0.028802530360737842,1.0
6,retail_9,0,0.033237363429592666,3.0
6,retail_10,0,0.030698596625170264,1.0
6,retail_11,0,0.03380371769235167,2.0
6,retail_12,0,0.022262720016780747,1.0
6,retail_13,0,0.0369730663106497,3.0
6,retail_14,0,0.03398839413452404,2.0
6,retail_15,0,0.03289789800310812,1.0
6,retail_16,0,0.03401292575344014,2.0
6,retail_17,0,0.031326058086133264,2.0
6,retail_18,0,0.027287672060314398,2.0
6,retail_19,0,0.02891331201697581,2.0
6,retail_20,0,0.02851514505020375,1.0
6,retail_21,0,0.031285205989954955,1.0
6,retail_22,0,0.04076513315354202,5.0
6,retail_23,0,0.03155494608670278,3.0
6,retail_24,0,0.03044393434362648,2.0
6,retail_25,0,0.02833022903646733,2.0
6,retail_26,0,0.02900675853468302,2.0
6,retail_27,0,0.03113899412871236,2.0
6,retail_28,0,0.027213215510177212,2.0
6,retail_29,0,0.02786900322645127,1.0
6,retail_30,0,0.028104861710356043,3.0
6,retail_31,0,0.028875055833383602,1.0
6,retail_32,0,0.031828297850909376,3.0
6,retail_33,0,0.033150438341158404,2.0
6,retail_34,0,0.029453048562565053,3.0
6,retail_35,0,0.030948553741900475,2.0
6,retail_36,0,0.028234148034468692,1.0
6,retail_37,0,0.025922622757414616,1.0
6,retail_38,0,0.025807144942934044,2.0
6,retail_39,0,0.029327506737211025,2.0
