t,agent_name,exit_type,entry_price,exit_price,position,realised_PnL,realised_PnL_pct
100,contrarian_7,take-profit,104.32543087675052,105.5390178294395,-38.0,-46.116304202181425,1.16%
102,contrarian_1,take-profit,104.31348541665297,105.41328343523956,-30.0,-32.99394055759791,1.05%
102,contrarian_5,take-profit,104.49997209989408,105.41328343523956,-31.0,-28.312651395709977,0.87%
108,contrarian_10,take-profit,104.51677875712456,105.2728962571375,-13.0,-9.829527500168325,0.72%
109,contrarian_0,take-profit,104.40461930591843,105.14213814056559,-36.0,-26.550678047297822,0.71%
109,contrarian_2,take-profit,104.1049585792596,105.14213814056559,-49.0,-50.82179850399352,1.0%
109,contrarian_13,take-profit,104.24583436177466,105.14213814056559,-41.0,-36.74845493042842,0.86%
