t,agent_name,exit_type,entry_price,exit_price,position,realised_PnL
193,value_0,take-profit,0.01,50000.08432021565,3021080.0,151054224527.31708
193,value_1,take-profit,0.01,50000.08432021565,3126011.0,156300782325.8116
193,value_4,take-profit,0.01,50000.08432021565,3497891.0,174894809964.01343
193,value_5,take-profit,0.01,50000.08432021565,3914776.0,195739090946.99652
193,value_6,take-profit,0.01,50000.08432021565,3445536.0,172277056072.97855
193,value_7,take-profit,0.01,50000.08432021565,3159102.0,157955334785.14188
193,value_9,take-profit,0.01,50000.08432021565,2866573.0,143328863044.32352
193,value_11,take-profit,0.01,50000.08432021565,2781718.0,139086106737.88162
193,value_13,take-profit,0.01,50000.08432021565,2795730.0,139786707779.25647
193,value_14,take-profit,0.01,50000.08432021565,2698516.0,134926000554.29105
193,value_15,take-profit,0.01,50000.08432021565,2604899.0,130245143596.65541
193,value_16,take-profit,0.01,50000.08432021565,2495314.0,124765885452.27458
193,value_18,take-profit,0.01,50000.08432021565,2991268.0,149563622311.6828
193,value_19,take-profit,0.01,50000.08432021565,2901411.0,145070765633.49118
193,value_20,take-profit,0.01,50000.08432021565,3998148.0,199907697143.22153
193,value_21,take-profit,0.01,50000.08432021565,3315416.0,165771046402.43207
193,value_23,take-profit,0.01,50000.08432021565,2898859.0,144943165443.826
193,value_26,take-profit,0.01,50000.08432021565,3013108.0,150655623934.83633
