t,agent_name,exit_type,entry_price,exit_price,position,realised_PnL
164,retail_25,stop-loss,116.94119505758512,109.67202901018405,120.37878774115767,-875.0533966753237
165,retail_5,stop-loss,116.35852623099568,108.03645312159179,105.37878774115767,-876.9699757622683
165,retail_14,stop-loss,116.62542560431417,108.03645312159179,110.77443309716384,-951.4385576607118
165,retail_16,stop-loss,114.50713481113274,108.03645312159179,71.79939246726931,-464.5910141581242
165,retail_20,stop-loss,113.89472133830623,108.03645312159179,62.09129517659511,-363.74746106768146
165,retail_26,stop-loss,114.87266988076674,108.03645312159179,54.257336672964755,-370.91491427191903
165,retail_27,stop-loss,113.90902574233662,108.03645312159179,88.98782199022787,-522.5874469995272
165,retail_36,stop-loss,115.43814998818318,108.03645312159179,89.40421538740708,-661.742900893033
165,retail_38,stop-loss,116.36003634580464,108.03645312159179,102.93080161045965,-856.7530935396034
165,retail_39,stop-loss,116.62044429457137,108.03645312159179,109.93080161045965,-943.6450306627551
165,retail_46,stop-loss,114.62761028272206,108.03645312159179,92.89524652120033,-612.2871693431713
165,retail_49,stop-loss,114.25249452938642,108.03645312159179,89.89524652120033,-558.7925747396878
166,retail_0,stop-loss,111.66125711880989,101.82198206399153,37.49103113379326,-368.8845674141504
166,retail_1,stop-loss,113.76243219788086,101.82198206399153,43.257336672964755,-516.5120714683977
166,retail_2,stop-loss,111.71941050507324,101.82198206399153,52.478655992362945,-519.4037423685563
166,retail_3,stop-loss,110.6375893253736,101.82198206399153,49.54210621243048,-436.7437512704639
166,retail_4,stop-loss,111.297207665266,101.82198206399153,28.0,-265.30631683568527
166,retail_6,stop-loss,112.12854037178592,101.82198206399153,58.58232631038837,-603.7821619242551
166,retail_7,stop-loss,112.45120924640494,101.82198206399153,6.1884295229585575,-65.77822330188079
166,retail_8,stop-loss,113.02312982295986,101.82198206399153,44.98782199022787,-503.9152414667072
166,retail_9,stop-loss,111.46714596437495,101.82198206399153,51.478655992362945,-496.52007441779585
166,retail_10,stop-loss,113.30161179289321,101.82198206399153,70.59264491036564,-810.3774251548335
166,retail_11,stop-loss,112.50794562653411,101.82198206399153,55.98782199022787,-598.2838257336954
166,retail_12,stop-loss,116.78409625955581,101.82198206399153,113.77443309716384,-1702.3060605353537
166,retail_13,stop-loss,114.61095165716684,101.82198206399153,82.29042360106257,-1052.4097252435051
166,retail_15,stop-loss,113.47362544395023,101.82198206399153,66.78125760319764,-778.1113980576143
166,retail_17,stop-loss,113.25195774027038,101.82198206399153,52.09129517659512,-595.4022368143444
166,retail_18,stop-loss,115.98314678903839,101.82198206399153,88.93080161045965,-1259.3637307361817
166,retail_19,stop-loss,112.1995457034122,101.82198206399153,49.781257603197645,-516.6081688275777
166,retail_21,stop-loss,114.27936940806737,101.82198206399153,65.78125760319764,-819.462605943467
166,retail_22,stop-loss,113.14650887888091,101.82198206399153,73.29042360106257,-829.9793673448347
166,retail_23,stop-loss,110.8437796767294,101.82198206399153,27.445766195923298,-247.61014794614255
166,retail_24,stop-loss,111.84732731748345,101.82198206399153,44.84470782326519,-449.58367872020364
166,retail_28,stop-loss,112.35612971010295,101.82198206399153,32.478655992362945,-342.13495757081273
166,retail_29,stop-loss,110.23035311273753,101.82198206399153,36.4457661959233,-306.4495253311673
166,retail_30,stop-loss,115.59803149868013,101.82198206399153,106.86981887495092,-1472.243907897541
166,retail_31,stop-loss,111.60451633507573,101.82198206399153,62.478655992362945,-611.1995934565708
166,retail_32,stop-loss,111.40163206599497,101.82198206399153,53.27972469955367,-510.4011148248224
166,retail_33,stop-loss,110.33107179208292,101.82198206399153,32.54210621243048,-276.90370170265146
166,retail_34,stop-loss,113.76939910356647,101.82198206399153,69.27972469955367,-827.7137633725087
166,retail_35,stop-loss,111.32901110936787,101.82198206399153,41.74836780675801,-396.90294533590304
166,retail_37,stop-loss,114.87746759831138,101.82198206399153,74.79939246726931,-976.5423863323482
166,retail_40,stop-loss,113.82158543619595,101.82198206399153,60.09129517659511,-721.0717082412018
166,retail_41,stop-loss,112.89876258458838,101.82198206399153,45.353676689471925,-502.37272249139033
166,retail_42,stop-loss,113.11058078220704,101.82198206399153,66.29042360106257,-748.3259908929182
166,retail_43,stop-loss,111.05849566834227,101.82198206399153,35.74836780675801,-330.19028558045466
166,retail_44,stop-loss,112.78835863007359,101.82198206399153,52.58232631038837,-576.6375910403232
166,retail_45,stop-loss,110.43414617194342,101.82198206399153,38.84470782326519,-334.5369984994028
166,retail_47,stop-loss,113.21781511477634,101.82198206399153,67.58232631038837,-770.156907816848
166,retail_48,stop-loss,110.67714646963576,101.82198206399153,46.478655992362945,-411.5761401657553
